GeneSymbol	Slide1_001	Slide5_005	Slide1_004	Slide8_001	Slide3_009	Slide6_003	Slide5_004	Slide3_008	Slide7_001	Slide8_006	Slide1_008	Slide2_003	Slide7_007	Slide3_010	Slide2_001	Slide5_003	Slide5_006	Slide3_006	Slide1_009	Slide5_001	Slide1_002	Slide1_007	Slide6_004	Slide8_005	Slide7_004	Slide3_001	Slide7_003	Slide7_005	Slide1_003	Slide7_008	Slide2_004	Slide8_002	Slide1_006	Slide8_004	Slide3_005	Slide3_002	Slide6_005	Slide6_006	Slide2_002	Slide4_004
KLRG1	0.084	0.004	0.132	0	0	0.012	0.004	0	0.072	0.004	0.08	0.012	0.008	0.012	0	0.016	0	0.012	0.048	0.004	0.032	0.084	0.016	0.004	0.016	0	0.164	0	0	0.004	0	0.008	0.004	0.016	0.008	0.008	0	0	0	0.004
CDK2	0.128	0	0.492	0.004	0.016	0.016	0.004	0.016	0.284	0.008	0.412	0.036	0.016	0.016	0.008	0.008	0.008	0.008	0.072	0	0.248	0.148	0.012	0.012	0.08	0.02	0.456	0.04	0.036	0.028	0.016	0.008	0.032	0.008	0.016	0.004	0.004	0.004	0.004	0.016
RB1	0.244	0.016	0.496	0.012	0.012	0.004	0	0.004	0.312	0.012	0.44	0.012	0.004	0	0.004	0.004	0.004	0.012	0.044	0.004	0.384	0.3	0.016	0.004	0.076	0.008	0.3	0.032	0.016	0.024	0.012	0.02	0.092	0.016	0.012	0.004	0.004	0	0.016	0
ITGAX	2.788	0.108	5.884	0.064	0.24	0.168	0.052	0.088	5.496	0.132	7.524	0.212	0.368	0.188	0.192	0.332	0.1	0.284	1.364	0.136	3.416	2.836	0.068	0.124	2.712	0.088	8.8	0.572	0.332	0.548	0.052	0.248	0.58	0.128	0.172	0.044	0.096	0.068	0.084	0.032
TP53	0.188	0.008	0.42	0.016	0.016	0.008	0.008	0	0.424	0.008	0.34	0.02	0.028	0.008	0.004	0.008	0.008	0.008	0.088	0.004	0.296	0.284	0.008	0	0.128	0.02	0.672	0.016	0.02	0.012	0.016	0.016	0.028	0.012	0.02	0	0	0.012	0.008	0
IFNAR1	0.388	0.004	1.2	0.024	0.02	0.032	0.012	0.008	0.596	0.012	0.6	0.024	0.02	0.016	0.008	0.012	0.012	0.024	0.116	0.008	0.74	0.44	0.024	0.008	0.156	0.028	0.924	0.052	0.024	0.056	0.02	0.036	0.092	0.016	0.028	0.008	0.008	0.012	0.036	0.008
ACKR3	0.048	0.004	0.108	0	0.004	0.016	0.008	0	0.032	0.008	0.06	0.008	0	0.004	0	0.004	0.008	0	0.02	0	0.052	0.06	0	0	0.024	0	0.128	0.008	0.004	0.012	0.004	0.008	0.008	0.008	0	0.008	0.004	0	0.02	0
SFRP2	0.756	0.04	0.34	0.064	0.084	0.2	0.032	0.004	2.216	0.1	0.788	0.224	0.108	0.012	0.072	0.092	0.056	0.012	0.36	0.056	0.24	0.708	0.048	0.048	0.296	0.016	1.9	0.152	0.024	0.028	0.056	0.052	0.024	0.104	0.004	0.004	0.052	0.052	0.152	0.016
GZMA	0.016	0	0.028	0.004	0.008	0.008	0	0	0.048	0	0.012	0.004	0	0	0	0	0	0	0	0	0.012	0.004	0	0	0	0.004	0.052	0	0.004	0	0	0	0	0	0	0	0	0.004	0.004	0.004
DUSP6	0.684	0.024	1.148	0.028	0.056	0.06	0.012	0.024	0.668	0.06	1.328	0.056	0.04	0.032	0.028	0.024	0.024	0.04	0.316	0.04	1.016	0.792	0.044	0.04	0.2	0.024	0.928	0.04	0.108	0.032	0.012	0.008	0.124	0.036	0.016	0.028	0	0.032	0.02	0.016
YAP1	0.26	0	0.596	0.012	0.048	0.024	0	0.036	0.56	0.016	0.576	0.032	0.028	0.024	0.008	0	0.004	0.02	0.068	0.008	0.328	0.48	0.028	0.008	0.196	0.012	0.78	0.024	0.028	0.024	0.016	0.052	0.032	0.016	0.036	0.012	0.02	0.008	0.012	0.004
ITGA1	0.024	0	0.064	0	0	0	0	0.004	0.096	0	0.092	0.012	0	0	0.004	0.016	0	0	0.016	0	0.076	0.036	0	0	0.012	0.004	0.088	0.004	0	0	0	0	0.004	0.004	0.004	0	0	0.004	0.004	0.008
WNT3A	0.108	0.004	0.152	0.008	0.016	0.028	0	0.012	0.128	0.004	0.248	0.02	0	0.016	0.012	0.012	0	0.024	0.048	0.004	0.348	0.224	0.012	0.016	0.064	0.016	0.18	0.004	0.016	0.012	0.004	0.016	0.028	0.012	0.012	0.008	0	0	0.004	0.008
FZD7	0.032	0	0.116	0.012	0.016	0.044	0.004	0.004	0.192	0.004	0.132	0.028	0	0.004	0.016	0.004	0.012	0.008	0.02	0.004	0.088	0.092	0.004	0.004	0.052	0.008	0.332	0.012	0.004	0.012	0.004	0	0.024	0.008	0.02	0.004	0.004	0.004	0.004	0.004
CSF1R	0.66	0.036	1.436	0.032	0.048	0.128	0.008	0.048	1.284	0.092	0.94	0.064	0.076	0.028	0.024	0.024	0.024	0.028	0.1	0.06	1.068	0.876	0.012	0.056	0.384	0.076	1.996	0.108	0.072	0.056	0.048	0.02	0.14	0.068	0.048	0.044	0.008	0.028	0.152	0.008
KIT	0.012	0	0.024	0	0	0	0	0.004	0.06	0	0.02	0.004	0.004	0	0	0	0	0	0.004	0	0.016	0.012	0	0	0	0	0.084	0.012	0	0.004	0.004	0	0	0	0	0.004	0	0	0	0.004
PREX2	0.092	0	0.268	0.008	0.004	0.008	0	0	0.124	0	0.12	0.008	0	0.012	0.012	0	0.004	0.004	0.012	0.008	0.16	0.076	0	0	0.028	0.004	0.2	0	0.004	0.004	0.008	0.012	0.012	0	0.008	0.004	0.004	0	0.008	0
TNFRSF13C	0.004	0	0.012	0	0	0	0	0	0.02	0.004	0.016	0	0	0	0	0	0.004	0	0.004	0.004	0.024	0.004	0	0.004	0	0.004	0.092	0	0.004	0.008	0	0.004	0	0	0	0.004	0	0	0.004	0.004
CXCR5	0.036	0.004	0.076	0.008	0.032	0.02	0.004	0.016	0.084	0	0.056	0.036	0	0.004	0.004	0	0.004	0.004	0.028	0.008	0.024	0.016	0.004	0.012	0.036	0	0.128	0.012	0	0.008	0	0.008	0	0.016	0.008	0.004	0.008	0	0	0.004
CCR5	0.116	0.004	0.34	0.008	0	0.004	0	0.008	0.24	0.012	0.208	0.012	0.016	0.016	0	0.008	0	0.016	0.012	0.012	0.14	0.172	0.008	0.008	0.092	0.036	0.356	0.016	0.012	0.02	0.004	0.004	0.004	0.008	0.004	0.004	0.004	0.004	0	0.012
MAML1	0.196	0.004	0.62	0.02	0.008	0.008	0.02	0.024	0.356	0.004	0.692	0.02	0.008	0.008	0.008	0.012	0.004	0.02	0.076	0.008	0.332	0.324	0.016	0	0.068	0.012	0.456	0.028	0.016	0.02	0.016	0.02	0.044	0.004	0.012	0.008	0.004	0.028	0.004	0.004
ITGA5	0.56	0.02	1.048	0.008	0.036	0.032	0.016	0.012	1.016	0.016	0.716	0.016	0.052	0.016	0.036	0.02	0.012	0.048	0.22	0.016	0.784	0.568	0.024	0.024	0.328	0.032	1.72	0.076	0.048	0.048	0.012	0.056	0.06	0.008	0.02	0.012	0.02	0.008	0.02	0.024
CXCL16	0.864	0.02	2.312	0.032	0.052	0.084	0.02	0.028	1.556	0.028	2.664	0.052	0.06	0.056	0.064	0.02	0.024	0.056	0.36	0.024	2.056	1.64	0.012	0.016	0.4	0.024	2.376	0.196	0.124	0.092	0.104	0.024	0.272	0.072	0.024	0.032	0.032	0.044	0.028	0.02
LRP5	0.196	0.004	0.72	0	0.016	0.02	0	0.008	0.42	0.012	0.608	0.028	0.008	0	0.012	0.004	0	0.02	0.06	0	0.356	0.396	0.008	0.004	0.096	0.008	0.5	0.02	0.024	0.02	0.012	0.012	0.052	0.008	0.004	0	0.008	0.008	0	0
CXCR1	0.044	0.008	0.092	0.028	0.02	0.02	0.012	0.016	0.168	0.008	0.076	0.064	0.012	0.02	0.016	0.016	0.004	0.004	0.012	0.012	0.116	0.136	0.004	0.012	0.056	0.004	0.18	0.012	0.004	0.012	0.008	0.008	0.02	0	0.024	0.004	0.016	0.012	0.016	0.008
CCR1	1.028	0.048	3.248	0.08	0.084	0.168	0.012	0.108	2.804	0.032	3.012	0.132	0.136	0.128	0.104	0.068	0.012	0.092	0.352	0.068	1.544	1.104	0.028	0.068	0.732	0.088	3.084	0.236	0.164	0.152	0.092	0.16	0.18	0.088	0.088	0.072	0.068	0.032	0.064	0.032
PLK1	0.356	0	0.432	0	0.032	0.028	0.004	0	0.592	0.008	0.948	0.008	0.028	0.024	0.004	0	0.012	0.008	0.12	0.02	0.252	0.488	0.008	0.008	0.276	0.016	1.216	0.028	0.024	0.044	0.012	0.008	0.064	0.02	0.012	0.012	0	0.004	0.012	0
STAT6	0.608	0.012	1.816	0.012	0.044	0.06	0.032	0.008	1.24	0.036	1.348	0.032	0.052	0.028	0.036	0.036	0.008	0.024	0.26	0.012	0.84	1.02	0.024	0.02	0.312	0.02	1.64	0.072	0.08	0.064	0.024	0.04	0.12	0.036	0.036	0.036	0.016	0.036	0.036	0.012
CD3D	0.012	0	0.008	0	0	0	0.004	0	0.012	0	0.012	0	0	0	0	0	0	0	0	0.004	0	0.012	0.008	0	0.004	0.004	0.06	0.008	0	0.004	0	0	0	0	0	0	0	0	0	0
CD14	3.176	0.044	9.084	0.052	0.096	0.556	0.036	0.04	7.608	0.176	6.08	0.396	0.344	0.108	0.204	0.016	0.004	0.12	1.296	0.028	11.856	2.964	0.076	0.052	1.24	0.068	7.464	0.42	0.144	0.148	0.088	0.164	0.284	0.064	0.116	0.072	0.1	0.112	0.208	0.04
MZB1	0.028	0	0	0.004	0	0	0	0	0.04	0.008	0.004	0.004	0.004	0	0	0	0	0.008	0.004	0.004	0.032	0.004	0.004	0.004	0.012	0	0.048	0	0	0	0	0.004	0	0.004	0	0	0	0	0	0
ITGB1	0.96	0.024	1.724	0.02	0.044	0.096	0.02	0.024	2.484	0.056	1.072	0.084	0.068	0.052	0.024	0.048	0.028	0.008	0.332	0.02	1.28	0.948	0.028	0.012	0.78	0.032	3.068	0.188	0.048	0.108	0.012	0.036	0.148	0.048	0.036	0.028	0.044	0.016	0.044	0.024
JUNB	0.648	0.024	1.336	0.016	0.048	0.044	0.012	0.044	2.24	0.032	1.304	0.092	0.06	0.036	0.036	0.016	0.036	0.06	0.248	0.032	1.188	0.692	0.02	0.016	0.728	0.016	2.828	0.128	0.076	0.136	0.032	0.044	0.128	0.04	0.048	0.024	0.02	0.044	0.04	0.024
CEBPB	0.5	0.02	1.124	0.052	0.028	0.028	0.008	0.024	2.832	0.024	1.456	0.144	0.104	0.06	0.032	0.032	0.012	0.016	0.24	0.032	0.612	0.588	0.016	0.024	0.712	0.012	2.348	0.212	0.052	0.06	0.02	0.06	0.108	0.024	0.048	0.016	0.024	0.032	0.024	0.02
FOS	0.792	0.004	0.932	0.012	0.024	0.02	0.008	0.008	0.352	0.008	0.836	0.048	0.024	0.024	0.012	0	0	0.02	0.068	0.012	0.736	0.552	0.012	0.008	0.12	0.028	0.744	0.048	0.008	0.012	0.004	0.028	0.132	0.012	0.02	0.008	0.008	0.008	0.012	0.008
CXCR6	0.004	0	0.016	0.004	0.004	0.008	0	0	0.036	0.004	0.024	0.004	0	0	0	0.004	0	0.004	0.008	0.008	0.028	0.024	0	0	0.016	0.004	0.044	0	0	0	0	0	0	0.004	0	0	0	0	0.004	0.004
IRS1	0.044	0	0.24	0.008	0.004	0.012	0	0.012	0.12	0.02	0.068	0.012	0.004	0.008	0.004	0.004	0	0.008	0.004	0.012	0.048	0.052	0.004	0.008	0.068	0	0.136	0.016	0.008	0	0.008	0.004	0.008	0.004	0	0	0.004	0.004	0.008	0.004
ESCO2	0.068	0.008	0.224	0	0.004	0.016	0.004	0.004	0.156	0.012	0.212	0.016	0.008	0.008	0.004	0.012	0.004	0.024	0.032	0.004	0.052	0.192	0.004	0.024	0.064	0.012	0.32	0	0.008	0	0.004	0.008	0.044	0.016	0.012	0	0.004	0.004	0.004	0.012
CCL11	0.08	0.004	0.168	0.008	0.004	0.02	0	0	0.248	0.004	0.048	0.02	0.016	0.008	0.004	0.004	0	0.008	0.024	0	0.052	0.248	0.004	0.012	0.08	0.024	0.332	0.02	0.004	0.012	0.008	0.004	0.028	0.004	0.02	0	0	0.012	0.004	0
BMP1	0.128	0.008	0.224	0.004	0.004	0.012	0.008	0.004	0.368	0.008	0.18	0.016	0.02	0.004	0.008	0.012	0.012	0.008	0.052	0.008	0.116	0.084	0.004	0.012	0.092	0	0.552	0.016	0.004	0.016	0.008	0.016	0.004	0.004	0.012	0.004	0.008	0	0.004	0.008
TMEM37	0.152	0.008	0.676	0.028	0.004	0.04	0.008	0.028	0.472	0.032	0.14	0.1	0.02	0.024	0.016	0.008	0.008	0.044	0.056	0.02	0.112	0.204	0.008	0.024	0.096	0.012	1.12	0.072	0.032	0.02	0.016	0.024	0.052	0.032	0.072	0	0.024	0.024	0.036	0.008
CXCL10	0.132	0.004	0.752	0.016	0.016	0.024	0.012	0.032	0.304	0.028	0.4	0.052	0.024	0.016	0.004	0.004	0.004	0.004	0.044	0.008	0.28	0.5	0	0	0.176	0.012	0.416	0.012	0.016	0.02	0.028	0.012	0.024	0.02	0.028	0.016	0.012	0.012	0.008	0.004
CXCL11	0.16	0	0.22	0.012	0.056	0.016	0.008	0.008	0.392	0.016	0.26	0.032	0.024	0.004	0	0.008	0	0	0.02	0.004	0.2	0.528	0.008	0.004	0.272	0.004	0.548	0.036	0.008	0.04	0.008	0.004	0.016	0.012	0.012	0.016	0.016	0.008	0.016	0.012
IGF1	0.216	0.012	0.116	0.04	0.024	0.024	0.004	0.016	0.328	0.036	0.164	0.048	0.024	0.016	0.016	0.008	0.004	0.024	0.036	0.008	0.228	0.2	0	0	0.108	0.028	0.744	0.052	0	0.024	0.008	0.012	0.036	0.012	0.016	0.016	0.004	0.012	0.024	0.004
BCL2L1	0.396	0.012	1.536	0.024	0.052	0.068	0.004	0.024	1.156	0.064	1.228	0.036	0.048	0.008	0.02	0.008	0.016	0.04	0.192	0.004	1.092	0.928	0.024	0.024	0.372	0.008	1.728	0.064	0.044	0.052	0.032	0.032	0.104	0.024	0.008	0.024	0.004	0.012	0.024	0.044
HAVCR2	0.648	0.016	2.348	0.032	0.084	0.096	0.004	0.048	1.368	0.04	1.02	0.064	0.028	0.048	0.012	0.008	0	0.044	0.348	0.008	1.444	0.9	0.012	0.012	0.228	0.028	1.292	0.068	0.06	0.048	0.024	0.028	0.148	0.032	0.068	0.024	0.02	0.012	0.02	0.012
CTSW	0.02	0	0.012	0.004	0.004	0.004	0	0	0.04	0.004	0.036	0	0	0	0	0	0	0	0.008	0	0.012	0.036	0	0	0.008	0.004	0.072	0.012	0	0	0	0	0.008	0.004	0	0	0.004	0	0.004	0.004
TLR1	0.456	0.016	1.628	0.008	0.056	0.032	0	0.044	0.884	0.052	1.636	0.032	0.048	0.032	0.036	0.008	0.02	0.044	0.208	0.052	0.744	0.972	0.036	0.028	0.208	0.028	1.152	0.072	0.02	0.06	0.02	0.056	0.084	0.044	0.028	0.016	0.016	0.02	0.04	0.036
XCR1	0.092	0.008	0.048	0.012	0	0.008	0.012	0.016	0.16	0.004	0.172	0.036	0.012	0.016	0.012	0.008	0	0.016	0.052	0.008	0.108	0.088	0.004	0.008	0.04	0.008	0.364	0.016	0.012	0.004	0.008	0.02	0.012	0.016	0.02	0.004	0.004	0.008	0.008	0.008
VEGFB	0.488	0.008	0.892	0.044	0.052	0.052	0.004	0.024	0.696	0.024	0.972	0.036	0.04	0.04	0.004	0.012	0.008	0.02	0.124	0.032	0.784	0.792	0.028	0.024	0.212	0.024	0.928	0.068	0.024	0.024	0.024	0.02	0.056	0.036	0.024	0.012	0.008	0.016	0.036	0.008
HRAS	0.216	0	0.492	0.004	0.008	0.008	0.004	0.024	0.34	0	0.288	0.028	0.016	0.004	0.024	0.004	0.02	0.012	0.084	0.004	0.38	0.276	0.012	0.012	0.096	0.004	0.516	0.024	0.036	0.024	0.012	0.016	0.068	0.028	0.016	0.004	0.004	0.012	0.02	0.016
CD248	0.024	0	0.064	0	0	0.004	0	0.004	0.02	0	0.04	0.008	0.004	0	0.004	0.004	0	0.008	0.016	0	0.072	0.056	0	0.004	0.032	0.008	0.192	0.02	0	0.012	0	0.004	0.008	0.004	0	0	0.004	0	0.004	0.004
KRAS	0.332	0.044	1.272	0.008	0.02	0.048	0.012	0.008	0.852	0.02	1.052	0.088	0.044	0.04	0.028	0.02	0.008	0.024	0.192	0.016	0.792	0.64	0.016	0.02	0.252	0.024	1.056	0.052	0.124	0.068	0.016	0.008	0.128	0.004	0.016	0.012	0.016	0.012	0.028	0
FOSL1	0.112	0.004	0.348	0.016	0.016	0.052	0	0.04	0.236	0.068	0.28	0.024	0.028	0.028	0.012	0	0.008	0.008	0.04	0.004	0.092	0.248	0.02	0.04	0.18	0.012	0.608	0.068	0.024	0.04	0.016	0.02	0.024	0.028	0.036	0.028	0.024	0.008	0.02	0.012
NOS2	0.128	0.024	0.284	0.004	0.016	0.024	0	0.008	0.06	0.032	0.18	0.016	0	0.032	0.008	0.008	0	0.012	0.028	0.02	0.084	0.14	0	0.036	0.04	0.008	0.224	0.004	0.016	0.004	0.016	0.004	0.02	0.024	0.02	0.016	0.004	0.008	0.008	0.004
MMP1	0.016	0	0.052	0	0.008	0.016	0	0.008	0.36	0.004	0.032	0.016	0.004	0	0.004	0	0	0.004	0.012	0.004	0.06	0.052	0	0	0.024	0	0.168	0	0.004	0.008	0	0.004	0.004	0	0.004	0	0	0	0	0
NCAM1	0.02	0	0.04	0.004	0	0.02	0.004	0.008	0.032	0	0.048	0.016	0	0	0.012	0.008	0	0.008	0.012	0	0.088	0.08	0.008	0.008	0.028	0.008	0.168	0	0.02	0.008	0	0.008	0.008	0.008	0.016	0.004	0.004	0.004	0	0.004
DERL3	0.028	0	0.012	0	0	0	0	0.004	0.064	0.004	0	0	0	0	0.004	0	0	0	0.004	0	0.032	0.008	0	0	0.004	0	0.056	0.008	0	0	0	0.004	0	0	0.004	0	0	0	0	0
RORC	0.024	0.004	0.092	0.008	0.004	0.028	0.004	0.004	0.064	0	0.156	0.036	0.004	0	0.004	0	0.008	0.004	0.008	0.004	0.076	0.044	0.004	0	0.036	0.008	0.056	0	0.004	0.008	0.004	0.012	0.004	0.012	0.004	0.004	0.008	0.004	0.008	0
CD276	0.568	0.02	1.716	0.024	0.064	0.024	0.012	0.02	1.548	0.02	1.316	0.108	0.084	0.044	0.036	0.016	0.012	0.048	0.348	0.004	1.216	1.088	0.02	0.028	0.576	0.008	2.668	0.064	0.076	0.124	0.04	0.064	0.16	0.036	0.016	0.016	0.02	0.02	0.044	0.02
CXCR2	0.052	0	0.288	0.008	0.024	0.008	0	0.008	0.116	0.008	0.288	0.048	0.02	0.004	0.004	0.004	0.004	0.016	0.016	0.012	0.14	0.124	0.004	0.02	0.052	0.016	0.152	0.008	0.004	0.016	0.008	0.016	0.008	0.036	0.02	0.012	0	0.004	0.012	0.008
ZEB1	0.076	0.004	0.132	0.008	0.004	0.008	0	0.016	0.172	0.012	0.14	0.016	0.008	0.028	0.012	0	0.004	0.008	0.024	0.012	0.18	0.128	0.004	0.004	0.056	0.008	0.268	0.008	0.02	0.008	0.008	0.008	0.032	0.008	0.008	0.004	0.004	0	0	0.004
HIF1A	0.876	0.024	1.86	0.052	0.032	0.076	0.008	0.016	1.728	0.028	1.892	0.064	0.064	0.012	0.032	0.016	0.02	0.044	0.216	0.024	0.86	0.956	0.02	0.028	0.432	0.016	1.324	0.088	0.056	0.052	0.012	0.028	0.136	0.032	0.028	0.032	0.048	0.036	0.024	0.004
SOX2	0.06	0.004	0.172	0.004	0.012	0.012	0	0.004	0.188	0.012	0.08	0.016	0.012	0.016	0.012	0.004	0.004	0.004	0.028	0.008	0.104	0.224	0.008	0	0.08	0.012	0.54	0.012	0.004	0.004	0.004	0	0.008	0.004	0.008	0.008	0.008	0.008	0.008	0
CCR8	0.024	0	0.108	0	0.004	0	0.004	0	0.068	0.008	0.028	0.016	0.008	0.008	0.004	0	0	0	0.004	0.004	0.068	0.132	0	0.004	0.004	0.004	0.124	0.008	0	0.004	0	0.008	0.004	0	0.004	0	0	0.012	0	0
FBLN1	0.264	0.004	0.204	0.012	0.016	0.044	0.004	0.016	0.724	0.016	0.116	0.044	0.044	0.008	0.004	0.008	0	0.012	0.04	0.028	0.164	0.208	0.024	0.04	0.3	0.008	1.964	0.104	0.004	0.096	0.004	0.036	0.032	0.02	0.004	0.004	0.028	0.024	0.012	0.016
IFITM1	2.74	0.024	10.3	0	0.028	0.048	0.004	0.032	2.056	0.032	9.972	0.02	0.14	0.032	0.04	0.032	0.008	0.064	0.424	0.024	6.628	6.232	0.02	0.02	0.764	0.012	3.736	0.12	0.212	0.128	0.012	0.056	0.876	0.012	0.052	0.024	0.004	0.008	0.016	0.004
CSF1	0.168	0	0.472	0	0.02	0.008	0.004	0.02	0.192	0.012	0.468	0.008	0.016	0.012	0	0	0	0.02	0.02	0	0.396	0.52	0	0.004	0.08	0.016	0.492	0.032	0.02	0.016	0	0.004	0.016	0.012	0.012	0.028	0.004	0.008	0.008	0.004
EPHB3	0.108	0.012	0.156	0.008	0.008	0.004	0	0.012	0.208	0.008	0.188	0.016	0.02	0.032	0.012	0.004	0	0.008	0.02	0.012	0.048	0.112	0.008	0	0.088	0.016	0.292	0.028	0.024	0.032	0.004	0.008	0.016	0.008	0	0.008	0	0.008	0.024	0.004
CD86	0.248	0.008	0.776	0.044	0.044	0.084	0.008	0	0.48	0.024	0.572	0.048	0.028	0.044	0.04	0.012	0	0.012	0.14	0.012	0.172	0.724	0.004	0.024	0.196	0.008	0.576	0.04	0.032	0.04	0.016	0.024	0.028	0.056	0.008	0	0.004	0.012	0.024	0.016
STING1	0.14	0	0.36	0.012	0	0.02	0.008	0.02	0.268	0.004	0.244	0.032	0.008	0.008	0	0.008	0	0.004	0.028	0.004	0.292	0.144	0.016	0	0.076	0.004	0.452	0.02	0.004	0.016	0.012	0.012	0.048	0.008	0.016	0.008	0.016	0.008	0	0.008
SOCS3	0.172	0.008	0.4	0.02	0.004	0.02	0.004	0	0.696	0.02	0.376	0.02	0.008	0.008	0.008	0.016	0	0.024	0.04	0.016	0.112	0.308	0.016	0.004	0.152	0.016	0.54	0.016	0.04	0.012	0.016	0.008	0.012	0.028	0.012	0.016	0.012	0.008	0.004	0.004
CCR4	0.008	0	0.004	0	0	0.004	0	0	0.028	0	0.016	0.004	0	0.004	0	0	0	0	0.016	0	0	0.016	0	0	0.016	0	0.068	0.004	0	0	0	0	0	0	0.004	0	0	0	0.004	0.004
IL3RA	0.04	0	0.088	0	0.004	0.008	0.004	0.004	0.048	0	0.04	0	0	0.004	0	0	0.004	0	0	0.004	0.056	0.076	0.004	0	0	0.004	0.024	0	0	0.008	0.008	0.004	0.004	0	0.004	0.004	0	0.008	0	0
PDGFB	0.148	0.008	0.4	0.024	0.012	0.028	0.008	0.028	0.596	0.012	0.2	0.068	0.028	0.004	0.008	0.004	0.004	0.028	0.052	0.004	0.384	0.224	0.012	0.012	0.224	0.016	0.952	0.136	0.012	0.044	0.028	0.06	0.012	0.028	0.024	0.02	0.028	0.016	0.056	0.004
ASCL2	0.224	0.012	0.46	0.036	0.076	0.076	0.008	0.024	0.436	0.052	0.66	0.048	0.036	0.064	0	0.004	0.004	0.04	0.072	0.004	0.896	0.428	0.036	0.032	0.208	0.048	1.452	0.064	0.016	0.02	0.012	0.024	0.06	0.056	0.032	0.016	0.04	0.024	0.012	0
TBK1	0.456	0.028	1.096	0.016	0.008	0.06	0.008	0.024	0.82	0.008	1.276	0.028	0.024	0.052	0.024	0.012	0.028	0.036	0.132	0.02	1.068	0.572	0.012	0.004	0.228	0.024	1.064	0.036	0.056	0.032	0.024	0.032	0.16	0.016	0.028	0.036	0.008	0.004	0.02	0.016
BCL2	0.336	0	0.968	0.008	0.024	0.016	0.008	0.012	0.588	0.016	0.78	0.016	0.016	0.016	0.012	0.004	0	0.008	0.096	0.012	0.704	0.54	0.004	0.02	0.204	0.012	0.916	0.016	0.024	0.04	0.004	0.02	0.112	0.016	0.004	0.004	0	0	0.004	0
PDCD1	0.008	0	0.028	0	0	0.008	0	0	0.084	0	0.06	0.004	0.004	0	0.008	0.004	0	0	0.008	0	0.036	0.028	0.004	0.004	0.028	0	0.084	0.004	0.008	0.004	0.004	0.008	0	0	0.004	0	0	0.012	0.008	0.004
PKM	1.46	0.076	3.616	0.036	0.104	0.12	0.032	0.104	4.076	0.052	3.744	0.108	0.148	0.064	0.064	0.056	0.04	0.06	0.564	0.068	2.344	2.748	0.06	0.044	1.26	0.044	5.472	0.236	0.176	0.24	0.052	0.032	0.448	0.032	0.12	0.052	0.032	0.044	0.024	0.012
TNC	0.088	0	0.324	0	0	0.008	0.004	0.008	1.572	0.004	0.072	0.008	0.096	0.012	0.004	0.004	0.008	0.016	0.064	0.004	0.152	0.104	0.008	0.008	1.328	0	5.164	0.416	0.024	0.256	0.004	0.008	0.012	0.016	0.02	0	0.004	0.004	0	0.008
CAV1	0.096	0.008	0.212	0.004	0.004	0.028	0	0.004	0.216	0.012	0.18	0.02	0.024	0.008	0	0.004	0	0.008	0.008	0	0.16	0.084	0.008	0.004	0.056	0.004	0.464	0.02	0.004	0.004	0	0.012	0.004	0.016	0.008	0	0	0	0.008	0
ATF3	0.4	0.012	0.788	0.02	0.092	0.032	0.004	0.056	0.664	0.024	0.484	0.084	0.044	0.028	0.036	0.032	0.004	0.088	0.08	0.012	0.34	0.796	0.02	0.016	0.276	0.06	0.872	0.06	0.012	0.056	0.064	0.016	0.004	0.036	0.068	0.012	0.06	0.032	0.048	0.044
INSR	0.156	0.008	0.42	0	0.004	0.024	0	0.004	0.444	0.008	0.436	0.012	0.004	0.008	0.004	0.008	0.008	0	0.052	0.012	0.336	0.256	0.008	0.012	0.084	0.012	0.4	0.024	0.012	0.016	0	0	0.056	0.004	0.004	0	0.004	0	0	0.012
CCR6	0.032	0	0.076	0.008	0.024	0.012	0.004	0.024	0.06	0.004	0.216	0.02	0.008	0.016	0.004	0.008	0.004	0.02	0.004	0.004	0.14	0.056	0	0.012	0.044	0.004	0.164	0.016	0.008	0.024	0	0.004	0	0.004	0.032	0.004	0	0.024	0.016	0
CLEC14A	0.056	0	0.14	0	0	0.008	0.004	0.004	0.06	0.004	0.04	0.008	0.004	0.008	0	0.004	0	0.004	0.016	0.004	0.048	0.032	0.004	0	0.012	0.004	0.136	0.004	0.004	0	0.012	0.004	0.004	0.004	0.012	0.008	0	0.004	0.004	0.004
JAK1	0.164	0.008	0.244	0.004	0.004	0.02	0	0.004	0.648	0.008	0.236	0.028	0.012	0.008	0.012	0.008	0.008	0	0.064	0.016	0.256	0.152	0.012	0	0.14	0.008	0.74	0.024	0.016	0.04	0.004	0.024	0.036	0.016	0.012	0.008	0.016	0.004	0.004	0.004
HLA.DQA1	0.076	0.012	0.172	0.024	0.076	0.1	0.004	0.012	0.064	0.012	0.064	0.304	0.004	0.028	0.112	0.02	0.004	0.096	0.004	0.008	0.048	0.064	0.06	0.004	0.028	0.036	0.12	0.008	0.02	0.004	0.056	0.012	0.004	0.02	0.084	0.088	0.068	0.028	0.116	0.056
E2F1	0.084	0.008	0.348	0.008	0	0.044	0	0	0.488	0.004	0.54	0.028	0.008	0.012	0.016	0.012	0	0.012	0.064	0.02	0.208	0.236	0.004	0.004	0.176	0.012	0.776	0.096	0.016	0.04	0.012	0.02	0.048	0.02	0.008	0	0.016	0.012	0.024	0.024
